[generation 0]
agent_0 = 53.154280
agent_1 = 15.065195
agent_2 = 89.354280
agent_3 = 15.019184
agent_4 = 36.019184
agent_5 = 14.076003
agent_6 = 43.819184
agent_7 = 13.132821
agent_8 = 71.522431
agent_9 = 11.212122
agent_10 = 38.473480
agent_11 = 11.387847
agent_12 = 11.247655
agent_13 = 10.204355
agent_14 = 11.229888
agent_15 = 16.725052
agent_16 = 31.504355
agent_17 = 8.320627
agent_18 = 52.804355
agent_19 = 8.356725
agent_20 = 8.320627
agent_21 = 8.320627
agent_22 = 8.320627
agent_23 = 8.320627
agent_24 = 7.115280
agent_25 = 11.055329
agent_26 = 10.188164
agent_27 = 16.954280
agent_28 = 5.712103
agent_29 = 7.125594
agent_30 = 11.361792
agent_31 = 8.688017
agent_32 = 5.712103
agent_33 = 5.712103
agent_34 = 5.712103
agent_35 = 5.712103
agent_36 = 18.253669
agent_37 = 3.909895
agent_38 = 9.489001
agent_39 = 6.532572
agent_40 = 3.909895
agent_41 = 3.909895
agent_42 = 3.909895
agent_43 = 3.909895
agent_44 = 3.909895
agent_45 = 3.909895
agent_46 = 3.909895
agent_47 = 3.909895
agent_48 = 1.993800
agent_49 = 53.109895
agent_50 = 2.181515
agent_51 = 28.509895
agent_52 = 1.993800
agent_53 = 1.993800
agent_54 = 1.993800
agent_55 = 1.993800
agent_56 = 1.993800
agent_57 = 1.993800
agent_58 = 1.993800
agent_59 = 1.993800
agent_60 = 367.009185
agent_61 = 0.000000
agent_62 = 400.070723
agent_63 = 16.954280

[generation 1]
agent_0 = 27.027819
agent_1 = 37.205832
agent_2 = 26.633806
agent_3 = 46.297052
agent_4 = 24.663679
agent_5 = 218.419520
agent_6 = 24.648810
agent_7 = 299.362377
agent_8 = 23.165554
agent_9 = 25.626436
agent_10 = 61.014323
agent_11 = 39.873581
agent_12 = 21.210932
agent_13 = 59.756463
agent_14 = 21.260421
agent_15 = 88.173130
agent_16 = 21.139383
agent_17 = 20.452424
agent_18 = 23.238959
agent_19 = 20.272960
agent_20 = 19.308643
agent_21 = 22.848481
agent_22 = 18.753025
agent_23 = 36.806362
agent_24 = 16.776976
agent_25 = 300.753025
agent_26 = 16.762498
agent_27 = 450.153025
agent_28 = 14.776656
agent_29 = 221.845832
agent_30 = 14.881044
agent_31 = 234.429165
agent_32 = 13.550802
agent_33 = 310.594838
agent_34 = 12.786493
agent_35 = 337.231201
agent_36 = 10.920644
agent_37 = 32.770302
agent_38 = 11.603037
agent_39 = 41.684603
agent_40 = 10.393601
agent_41 = 16.724658
agent_42 = 9.111312
agent_43 = 20.573813
agent_44 = 7.205532
agent_45 = 198.520403
agent_46 = 7.122152
agent_47 = 377.611312
agent_48 = 8.495641
agent_49 = 12.286156
agent_50 = 5.723658
agent_51 = 7.682690
agent_52 = 3.853783
agent_53 = 24.793150
agent_54 = 3.823042
agent_55 = 138.623658
agent_56 = 2.021169
agent_57 = 46.028598
agent_58 = 1.893366
agent_59 = 23.761931
agent_60 = 0.007856
agent_61 = 49.811548
agent_62 = 0.000000
agent_63 = 30.529730

[generation 2]
agent_0 = 14.691117
agent_1 = 17.614006
agent_2 = 15.244081
agent_3 = 15.420066
agent_4 = 13.491395
agent_5 = 15.456104
agent_6 = 14.198963
agent_7 = 16.531947
agent_8 = 13.707779
agent_9 = 13.304677
agent_10 = 14.912101
agent_11 = 12.861677
agent_12 = 32.787993
agent_13 = 11.403204
agent_14 = 25.738870
agent_15 = 11.009181
agent_16 = 11.399339
agent_17 = 10.521251
agent_18 = 11.794442
agent_19 = 10.576766
agent_20 = 11.173776
agent_21 = 10.214944
agent_22 = 12.189020
agent_23 = 9.671814
agent_24 = 13.406725
agent_25 = 9.333760
agent_26 = 10.218193
agent_27 = 8.662655
agent_28 = 14.907314
agent_29 = 7.207568
agent_30 = 30.441232
agent_31 = 249.989353
agent_32 = 5.742665
agent_33 = 12.342730
agent_34 = 6.308686
agent_35 = 10.357076
agent_36 = 9.520018
agent_37 = 4.461222
agent_38 = 9.281809
agent_39 = 4.374984
agent_40 = 3.272342
agent_41 = 6.632192
agent_42 = 3.234925
agent_43 = 7.490910
agent_44 = 2.591594
agent_45 = 4.058375
agent_46 = 2.658875
agent_47 = 4.512078
agent_48 = 3.852297
agent_49 = 1.889645
agent_50 = 4.047737
agent_51 = 1.663551
agent_52 = 1.752071
agent_53 = 1.602656
agent_54 = 19.383230
agent_55 = 154.183846
agent_56 = 1.409438
agent_57 = 1.463693
agent_58 = 2.032603
agent_59 = 1.478222
agent_60 = 6.790068
agent_61 = 0.000000
agent_62 = 1.868669
agent_63 = 1.790291

[generation 3]
agent_0 = 10.727374
agent_1 = 11.250268
agent_2 = 9.862477
agent_3 = 25.801236
agent_4 = 9.238449
agent_5 = 12.828840
agent_6 = 8.298910
agent_7 = 16.292075
agent_8 = 8.357719
agent_9 = 8.627881
agent_10 = 8.464474
agent_11 = 7.995946
agent_12 = 7.344428
agent_13 = 8.847655
agent_14 = 7.207388
agent_15 = 9.328716
agent_16 = 8.685093
agent_17 = 6.846545
agent_18 = 6.854082
agent_19 = 20.957935
agent_20 = 6.487590
agent_21 = 6.968823
agent_22 = 7.387313
agent_23 = 6.778563
agent_24 = 6.828035
agent_25 = 6.382526
agent_26 = 6.490178
agent_27 = 6.253372
agent_28 = 6.208563
agent_29 = 7.217766
agent_30 = 5.807644
agent_31 = 5.819348
agent_32 = 6.127677
agent_33 = 6.573923
agent_34 = 6.532045
agent_35 = 4.961547
agent_36 = 3.697143
agent_37 = 10.204302
agent_38 = 4.362626
agent_39 = 5.578464
agent_40 = 4.022859
agent_41 = 3.584984
agent_42 = 3.780326
agent_43 = 3.284574
agent_44 = 13.492010
agent_45 = 2.499330
agent_46 = 3.047169
agent_47 = 14.893248
agent_48 = 2.476767
agent_49 = 2.805828
agent_50 = 5.761732
agent_51 = 2.128323
agent_52 = 2.453517
agent_53 = 1.226434
agent_54 = 1.725216
agent_55 = 3.703255
agent_56 = 0.472835
agent_57 = 1.136628
agent_58 = 7.357394
agent_59 = 11.859391
agent_60 = 0.000000
agent_61 = 1.429617
agent_62 = 0.311829
agent_63 = 0.625541

[generation 4]
agent_0 = 9.684144
agent_1 = 9.929980
agent_2 = 9.141960
agent_3 = 9.194889
agent_4 = 9.293862
agent_5 = 9.181552
agent_6 = 9.081438
agent_7 = 9.015070
agent_8 = 8.942264
agent_9 = 10.880415
agent_10 = 8.919049
agent_11 = 8.842941
agent_12 = 9.227459
agent_13 = 8.938223
agent_14 = 8.605839
agent_15 = 8.731888
agent_16 = 8.115577
agent_17 = 7.863510
agent_18 = 11.162618
agent_19 = 10.144877
agent_20 = 8.133889
agent_21 = 9.474901
