[generation 0]
agent_0 = 270.472114
agent_1 = 0.000000
agent_2 = 0.000000
agent_3 = 0.000000
agent_4 = 270.472114
agent_5 = 1.887006
agent_6 = 270.472114
agent_7 = 35.287006
agent_8 = 270.472114
agent_9 = 270.472114
agent_10 = 0.000000
agent_11 = 0.000000
agent_12 = 270.472114
agent_13 = 1.591837
agent_14 = 270.472114
agent_15 = 9.391837
agent_16 = 270.472114
agent_17 = 0.000000
agent_18 = 0.000000
agent_19 = 0.000000

[generation 1]
agent_0 = 0.000000
agent_1 = 0.000000
agent_2 = 0.000000
agent_3 = 0.000000
agent_4 = 1.976415
agent_5 = 13.848546
agent_6 = 169.576415
agent_7 = 0.000000
agent_8 = 0.000000
agent_9 = 0.000000
agent_10 = 0.000000
agent_11 = 0.000000
agent_12 = 1.807018
agent_13 = 31.472789
agent_14 = 0.000000
agent_15 = 20.534290
agent_16 = 1.952267
agent_17 = 7.727267
agent_18 = 0.000000
agent_19 = 83.752267

[generation 2]
agent_0 = 0.000000
agent_1 = 0.000000
agent_2 = 0.000000
agent_3 = 0.000000
agent_4 = 7.073684
agent_5 = 0.000000
agent_6 = 0.000000
agent_7 = 0.000000
agent_8 = 0.000000
agent_9 = 0.000000
agent_10 = 0.000000
agent_11 = 0.000000
agent_12 = 0.085724
agent_13 = 0.000000
agent_14 = 0.000000
agent_15 = 0.000000
agent_16 = 0.040268
agent_17 = 14.264406
agent_18 = 0.000000
agent_19 = 0.081364

