[generation 0]
agent_0 = 0.009843
agent_1 = 101.600000
agent_2 = 1.000000
agent_3 = 1.000000
agent_4 = 0.909091
agent_5 = 1.000000
agent_6 = 0.833333
agent_7 = 1.300000
agent_8 = 1.000000
agent_9 = 14.666667
agent_10 = 6.272727
agent_11 = 1.000000
agent_12 = 1.000000
agent_13 = 1.000000
agent_14 = 1.000000
agent_15 = 1.000000
agent_16 = 1.200000
agent_17 = 1.000000
agent_18 = 1.000000
agent_19 = 0.833333
agent_20 = 1.200000
agent_21 = 0.833333
agent_22 = 1.100000
agent_23 = 0.909091
agent_24 = 1.000000
agent_25 = 1.000000
agent_26 = 1.000000
agent_27 = 1.000000
agent_28 = 0.384615
agent_29 = 16.000000
agent_30 = 0.069444
agent_31 = 1.000000
agent_32 = 0.392857
agent_33 = 5.800000
agent_34 = 0.142857
agent_35 = 3.636364
agent_36 = 1.000000
agent_37 = 1.000000
agent_38 = 0.909091
agent_39 = 1.100000

[generation 1]
agent_0 = 1.789474
agent_1 = 0.263158
agent_2 = 0.909091
agent_3 = 0.975000
agent_4 = 1.166667
agent_5 = 2.200000
agent_6 = 0.650000
agent_7 = 0.588235
agent_8 = 1.000000
agent_9 = 1.000000
agent_10 = 1.000000
agent_11 = 1.000000
agent_12 = 1.000000
agent_13 = 1.000000
agent_14 = 1.000000
agent_15 = 1.000000
agent_16 = 0.142857
agent_17 = 7.000000
agent_18 = 1.000000
agent_19 = 1.000000
agent_20 = 8.100000
agent_21 = 1.000000
agent_22 = 94.000000
agent_23 = 1.000000
agent_24 = 0.476190
agent_25 = 1.100000
agent_26 = 0.344828
agent_27 = 3.900000
agent_28 = 0.161290
agent_29 = 1.100000
agent_30 = 0.909091
agent_31 = 6.200000
agent_32 = 3.000000
agent_33 = 0.227273
agent_34 = 4.000000
agent_35 = 0.366667
agent_36 = 1.000000
agent_37 = 0.263158
agent_38 = 4.000000
agent_39 = 0.833333

[generation 2]
agent_0 = 0.685000
agent_1 = 1.104348
agent_2 = 0.062500
agent_3 = 7.281250
agent_4 = 1.100000
agent_5 = 0.909091
agent_6 = 0.202128
agent_7 = 4.947368
agent_8 = 1.000000
agent_9 = 1.000000
agent_10 = 1.000000
agent_11 = 1.000000
agent_12 = 1.000000
agent_13 = 1.000000
agent_14 = 1.000000
agent_15 = 1.000000
agent_16 = 1.100000
agent_17 = 1.000000
agent_18 = 1.000000
agent_19 = 0.909091
agent_20 = 108.000000
agent_21 = 1.300000
agent_22 = 0.121951
agent_23 = 1.000000
agent_24 = 4.909091
agent_25 = 1.100000
agent_26 = 1.000000
agent_27 = 0.185185
agent_28 = 1.028037
agent_29 = 1.062500
agent_30 = 1.400000
agent_31 = 0.137500
agent_32 = 1.100000
agent_33 = 0.909091
agent_34 = 1.000000
agent_35 = 0.185185
agent_36 = 2.200000
agent_37 = 1.000000
agent_38 = 1.000000
agent_39 = 0.454545

[generation 3]
agent_0 = 0.058201
agent_1 = 0.434783
agent_2 = 1.875000
agent_3 = 19.300000
agent_4 = 0.225806
agent_5 = 7.916667
agent_6 = 0.405660
agent_7 = 2.362745
agent_8 = 1.000000
agent_9 = 0.277778
agent_10 = 4.100000
agent_11 = 0.666667
agent_12 = 1.000000
agent_13 = 1.000000
agent_14 = 1.000000
agent_15 = 1.000000
agent_16 = 1.000000
agent_17 = 1.000000
agent_18 = 0.019960
agent_19 = 50.100000
agent_20 = 4.000000
agent_21 = 0.250000
agent_22 = 1.000000
agent_23 = 1.000000
agent_24 = 19.000000
agent_25 = 1.100000
agent_26 = 1.000000
agent_27 = 0.052506
agent_28 = 1.000000
agent_29 = 1.000000
agent_30 = 1.100000
agent_31 = 0.909091
agent_32 = 0.055838
agent_33 = 0.625360
agent_34 = 5.179104
agent_35 = 4.272727
agent_36 = 13.272727
agent_37 = 0.059524
agent_38 = 9.363636
agent_39 = 0.148148

[generation 4]
agent_0 = 3.030928
agent_1 = 0.743083
agent_2 = 1.132075
agent_3 = 4.272727
agent_4 = 0.049528
agent_5 = 33.166667
agent_6 = 0.886364
agent_7 = 1.458333
agent_8 = 1.000000
agent_9 = 1.000000
agent_10 = 1.000000
agent_11 = 1.000000
agent_12 = 1.000000
agent_13 = 1.000000
agent_14 = 1.000000
agent_15 = 1.000000
agent_16 = 0.040486
agent_17 = 52.000000
agent_18 = 1.147228
agent_19 = 0.416667
agent_20 = 1.000000
agent_21 = 3.900000
agent_22 = 0.256410
agent_23 = 1.000000
agent_24 = 1.000000
agent_25 = 0.909091
agent_26 = 1.100000
agent_27 = 1.000000
agent_28 = 5.363636
agent_29 = 0.172414
agent_30 = 22.100000
agent_31 = 0.049550
agent_32 = 0.371622
agent_33 = 2.681818
agent_34 = 0.256410
agent_35 = 4.000000
agent_36 = 1.100000
agent_37 = 0.909091
agent_38 = 1.100000
agent_39 = 0.909091

[generation 5]
agent_0 = 0.036066
agent_1 = 1.019939
agent_2 = 0.887626
agent_3 = 6.967742
agent_4 = 0.886517
agent_5 = 1.659341
agent_6 = 0.051282
agent_7 = 1.327948
agent_8 = 1.000000
agent_9 = 1.000000
agent_10 = 1.000000
agent_11 = 1.000000
agent_12 = 1.000000
agent_13 = 1.000000
agent_14 = 1.000000
agent_15 = 1.000000
agent_16 = 1.369231
agent_17 = 0.123596
agent_18 = 2.909091
agent_19 = 2.031250
agent_20 = 0.303030
agent_21 = 0.492537
agent_22 = 0.650083
agent_23 = 1.800000
agent_24 = 1.000000
agent_25 = 0.192982
agent_26 = 5.272727
agent_27 = 0.909091
agent_28 = 0.909091
agent_29 = 1.000000
agent_30 = 0.714286
agent_31 = 1.500000
agent_32 = 0.945736
agent_33 = 0.081967
agent_34 = 1.000000
