[generation 0]
agent_0 = 13.510145
agent_1 = 0.000000
agent_2 = 0.000000
agent_3 = 0.000000
agent_4 = 0.000000
agent_5 = 0.000000
agent_6 = 0.000000
agent_7 = 0.000000
agent_8 = 0.000000
agent_9 = 0.000000
agent_10 = 0.000000
agent_11 = 0.000000
agent_12 = 0.000000
agent_13 = 0.000000
agent_14 = 0.000000
agent_15 = 0.000000
agent_16 = 0.000000
agent_17 = 0.000000
agent_18 = 0.000000
agent_19 = 0.000000

[generation 1]
agent_0 = 5.180956
agent_1 = 4.799138
agent_2 = 4.799138
agent_3 = 4.799138
agent_4 = 4.799138
agent_5 = 4.799138
agent_6 = 4.799138
agent_7 = 4.799138
agent_8 = 5.199138
agent_9 = 4.465805
agent_10 = 2.650990
agent_11 = 24.065805
agent_12 = 2.650990
agent_13 = 2.650990
agent_14 = 2.650990
agent_15 = 2.650990
agent_16 = 0.750000
agent_17 = 41.050990
agent_18 = 0.000000
agent_19 = 1.950000

[generation 2]
agent_0 = 4.818168
agent_1 = 5.199986
agent_2 = 4.818168
agent_3 = 4.818168
agent_4 = 4.818168
agent_5 = 4.818168
agent_6 = 4.213517
agent_7 = 5.684835
agent_8 = 5.813517
agent_9 = 3.324628
agent_10 = 8.924628
agent_11 = 1.850944
agent_12 = 3.210864
agent_13 = 1.041448
agent_14 = 1.041448
agent_15 = 1.041448
agent_16 = 1.041448
agent_17 = 1.041448
agent_18 = 3.214411
agent_19 = 0.000000

[generation 3]
agent_0 = 2.592466
agent_1 = 2.592466
agent_2 = 2.592466
agent_3 = 2.592466
agent_4 = 2.410648
agent_5 = 2.792466
agent_6 = 2.410648
agent_7 = 2.410648
agent_8 = 2.410648
agent_9 = 2.410648
agent_10 = 2.410648
agent_11 = 2.410648
agent_12 = 2.410648
agent_13 = 2.410648
agent_14 = 2.410648
agent_15 = 2.410648
agent_16 = 0.461538
agent_17 = 79.010648
agent_18 = 0.000000
agent_19 = 1.061538

[generation 4]
agent_0 = 6.579443
agent_1 = 5.307436
agent_2 = 5.307436
agent_3 = 5.307436
agent_4 = 6.707436
agent_5 = 4.483906
