[generation 0]
agent_0 = 7.587738
agent_1 = 16.999059
agent_2 = 6.776418
agent_3 = 12.699059
agent_4 = 4.950331
agent_5 = 17.276418
agent_6 = 5.863374
agent_7 = 27.776418
agent_8 = 64.250331
agent_9 = 3.045081
agent_10 = 39.250331
agent_11 = 3.038529
agent_12 = 1.567941
agent_13 = 3.288529
agent_14 = 9.509118
agent_15 = 20.163529
agent_16 = 0.254350
agent_17 = 5.971450
agent_18 = 0.000000
agent_19 = 7.576713
agent_20 = 2.788151
agent_21 = 2.597242
agent_22 = 2.888151
agent_23 = 2.506333
agent_24 = 1.934905
agent_25 = 3.006333
agent_26 = 2.220619
agent_27 = 3.206333
agent_28 = 1.934905
agent_29 = 1.934905
agent_30 = 1.934905
agent_31 = 1.934905
agent_32 = 1.058361
agent_33 = 9.034905
agent_34 = 0.181818
agent_35 = 16.134905
agent_36 = 0.281818
agent_37 = 0.090909
agent_38 = 0.381818
agent_39 = 0.000000
agent_40 = 78.668587
agent_41 = 2.399233
agent_42 = 139.168587
agent_43 = 2.472821
agent_44 = 51.399233
agent_45 = 0.439394
agent_46 = 100.399233
agent_47 = 1.133518
agent_48 = 0.181818
agent_49 = 0.639394
agent_50 = 0.181818
agent_51 = 0.839394
agent_52 = 0.090909
agent_53 = 0.381818
agent_54 = 0.000000
agent_55 = 0.281818
agent_56 = 0.000000
agent_57 = 0.000000
agent_58 = 0.000000
agent_59 = 0.000000
agent_60 = 5.711599
agent_61 = 5.711599
agent_62 = 5.711599
agent_63 = 5.711599
agent_64 = 4.406594
agent_65 = 40.011599
agent_66 = 3.768663
agent_67 = 74.311599
agent_68 = 1.815664
agent_69 = 97.586845
agent_70 = 1.875743
agent_71 = 50.677754
agent_72 = 1.815664
agent_73 = 1.815664
agent_74 = 1.815664
agent_75 = 1.815664
agent_76 = 0.816498
agent_77 = 21.615664
agent_78 = 0.000000
agent_79 = 11.715664
agent_80 = 3.941551
agent_81 = 13.124884
agent_82 = 4.733218
agent_83 = 9.324884
agent_84 = 3.941551
agent_85 = 3.941551
agent_86 = 3.941551
agent_87 = 3.941551
agent_88 = 3.280175
agent_89 = 23.794676
agent_90 = 2.618800
agent_91 = 5.050926
agent_92 = 13.564954
agent_93 = 2.982436
agent_94 = 1.534884
agent_95 = 2.800618
agent_96 = 0.767442
agent_97 = 8.134884
agent_98 = 0.000000
agent_99 = 4.834884
agent_100 = 9.980051
agent_101 = 16.754419
agent_102 = 7.904654
agent_103 = 4.167491
agent_104 = 204.567491
agent_105 = 3.086463
agent_106 = 104.367491
agent_107 = 9.770809
agent_108 = 3.086463
agent_109 = 3.086463
agent_110 = 3.086463
agent_111 = 3.086463
agent_112 = 12.157892
agent_113 = 3.267108
agent_114 = 7.622177
agent_115 = 1.333333
agent_116 = 5.333333
agent_117 = 0.666667
agent_118 = 3.333333
agent_119 = 0.000000
agent_120 = 4.193258
agent_121 = 4.193258
agent_122 = 4.193258
agent_123 = 4.193258
agent_124 = 2.256300
agent_125 = 51.607788
agent_126 = 5.158182
agent_127 = 23.415480
agent_128 = 19.897501
agent_129 = 0.461538
agent_130 = 5.361685
agent_131 = 4.696604
agent_132 = 0.761538
agent_133 = 0.230769
agent_134 = 1.061538
agent_135 = 0.000000
agent_136 = 0.000000
agent_137 = 0.000000
agent_138 = 0.000000
agent_139 = 0.000000
agent_140 = 53.775004
agent_141 = 3.039892
agent_142 = 2.496488
agent_143 = 4.273697
agent_144 = 1.370226
agent_145 = 6.806012
agent_146 = 0.990109
agent_147 = 5.972679
agent_148 = 101.090109
agent_149 = 0.000000
agent_150 = 101.190109
agent_151 = 8.353249
agent_152 = 0.000000
agent_153 = 0.000000
agent_154 = 0.000000
agent_155 = 0.000000
agent_156 = 0.000000
agent_157 = 0.000000
agent_158 = 0.000000
agent_159 = 0.000000

[generation 1]
agent_0 = 22.693345
agent_1 = 5.951924
agent_2 = 37.693345
agent_3 = 5.839879
agent_4 = 5.623663
agent_5 = 5.242178
agent_6 = 5.407446
agent_7 = 16.115741
agent_8 = 15.885035
agent_9 = 4.328067
agent_10 = 26.527892
agent_11 = 3.408314
agent_12 = 1.427156
agent_13 = 214.208314
agent_14 = 1.504994
agent_15 = 124.408314
agent_16 = 3.301200
agent_17 = 0.367731
agent_18 = 9.893624
agent_19 = 0.000000
agent_20 = 32.812180
agent_21 = 7.569660
agent_22 = 21.112180
agent_23 = 8.490920
agent_24 = 49.469660
agent_25 = 6.592970
agent_26 = 91.369660
agent_27 = 5.616280
agent_28 = 19.816280
agent_29 = 4.060812
agent_30 = 13.016280
agent_31 = 3.902166
agent_32 = 146.202166
agent_33 = 2.299188
agent_34 = 100.402166
agent_35 = 1.927231
agent_36 = 56.627231
agent_37 = 0.000000
agent_38 = 44.727231
agent_39 = 0.046367
agent_40 = 21.218642
agent_41 = 4.978960
agent_42 = 13.707182
agent_43 = 15.000505
agent_44 = 4.019079
agent_45 = 8.465126
agent_46 = 66.910976
agent_47 = 12.125865
agent_48 = 5.638043
agent_49 = 6.040828
agent_50 = 3.037517
agent_51 = 10.411751
agent_52 = 37.978404
agent_53 = 1.874905
agent_54 = 23.238144
agent_55 = 1.110577
agent_56 = 0.000000
agent_57 = 1.791827
agent_58 = 0.583726
agent_59 = 4.579204
agent_60 = 92.388994
agent_61 = 7.839891
agent_62 = 54.388994
agent_63 = 7.929683
agent_64 = 70.539891
agent_65 = 5.901667
agent_66 = 42.039891
agent_67 = 6.227064
agent_68 = 71.501667
agent_69 = 3.961235
agent_70 = 48.001667
agent_71 = 4.069612
agent_72 = 214.161235
agent_73 = 1.980925
agent_74 = 116.561235
agent_75 = 2.040865
agent_76 = 111.780925
agent_77 = 0.578666
agent_78 = 204.780925
agent_79 = 0.000000
agent_80 = 6.246948
agent_81 = 6.528766
agent_82 = 6.337857
agent_83 = 6.628766
agent_84 = 106.346948
agent_85 = 5.256839
agent_86 = 206.446948
agent_87 = 12.655830
agent_88 = 3.525308
agent_89 = 18.156839
agent_90 = 4.299264
agent_91 = 11.856839
agent_92 = 1.540169
agent_93 = 373.225308
agent_94 = 234.425308
agent_95 = 8.469632
agent_96 = 0.000000
agent_97 = 8.340169
agent_98 = 0.676533
agent_99 = 4.940169
agent_100 = 4.098472
agent_101 = 5.850502
agent_102 = 5.204922
agent_103 = 5.282585
agent_104 = 4.928577
agent_105 = 4.275052
agent_106 = 3.789248
agent_107 = 3.199662
agent_108 = 3.458165
agent_109 = 2.330290
agent_110 = 5.867164
agent_111 = 16.603937
agent_112 = 1.066999
agent_113 = 6.479950
agent_114 = 0.752241
agent_115 = 7.063623
agent_116 = 0.000000
agent_117 = 0.451187
agent_118 = 0.413783
agent_119 = 3.867745
agent_120 = 0.257576
agent_121 = 0.257576
agent_122 = 0.257576
agent_123 = 0.257576
agent_124 = 0.257576
agent_125 = 0.257576
agent_126 = 0.257576
agent_127 = 0.257576
agent_128 = 0.257576
agent_129 = 0.257576
agent_130 = 0.257576
agent_131 = 0.257576
agent_132 = 0.257576
agent_133 = 0.257576
agent_134 = 0.257576
agent_135 = 0.257576
agent_136 = 0.457576
agent_137 = 0.000000
agent_138 = 0.657576
agent_139 = 0.000000
agent_140 = 0.090909
agent_141 = 0.381818
agent_142 = 0.000000
agent_143 = 0.281818
agent_144 = 0.000000
agent_145 = 0.000000
agent_146 = 0.000000
agent_147 = 0.000000
agent_148 = 0.000000
agent_149 = 0.000000
agent_150 = 0.000000
agent_151 = 0.000000
agent_152 = 0.000000
agent_153 = 0.000000
agent_154 = 0.000000
agent_155 = 0.000000
agent_156 = 0.000000
agent_157 = 0.000000
agent_158 = 0.000000
agent_159 = 0.000000

[generation 2]
agent_0 = 5.981540
agent_1 = 14.880948
agent_2 = 5.869879
agent_3 = 101.766662
agent_4 = 6.982661
agent_5 = 5.158023
agent_6 = 6.426270
agent_7 = 5.421482
agent_8 = 3.473876
agent_9 = 13.074689
agent_10 = 3.444775
agent_11 = 20.991356
agent_12 = 1.776023
agent_13 = 18.178109
agent_14 = 1.597289
agent_15 = 15.084359
agent_16 = 0.565062
agent_17 = 5.443443
agent_18 = 0.000000
agent_19 = 3.520366
agent_20 = 5.810370
agent_21 = 17.424900
agent_22 = 4.895840
agent_23 = 28.124900
agent_24 = 5.665989
agent_25 = 4.982834
agent_26 = 4.482165
agent_27 = 12.146382
agent_28 = 2.675363
agent_29 = 13.658745
agent_30 = 2.830017
agent_31 = 38.894445
agent_32 = 21.919265
agent_33 = 0.998330
agent_34 = 5.756765
agent_35 = 1.536667
agent_36 = 1.232545
agent_37 = 3.868610
agent_38 = 0.000000
agent_39 = 10.245265
agent_40 = 4.227155
agent_41 = 6.853981
agent_42 = 9.982333
agent_43 = 33.211393
agent_44 = 3.717539
agent_45 = 7.326270
agent_46 = 5.345436
agent_47 = 3.765168
agent_48 = 3.215962
agent_49 = 4.906077
agent_50 = 2.355128
agent_51 = 8.213459
agent_52 = 11.466565
agent_53 = 0.910455
agent_54 = 5.234790
agent_55 = 0.968439
agent_56 = 0.000000
agent_57 = 2.582086
agent_58 = 1.432690
agent_59 = 15.331758
agent_60 = 6.065544
agent_61 = 8.020972
agent_62 = 6.327334
agent_63 = 39.456311
agent_64 = 27.456857
agent_65 = 4.747149
agent_66 = 11.590354
agent_67 = 10.010086
agent_68 = 8.715819
agent_69 = 6.808871
agent_70 = 3.494228
agent_71 = 6.155619
agent_72 = 185.130592
agent_73 = 1.679432
agent_74 = 39.357864
agent_75 = 7.213357
agent_76 = 4.760384
agent_77 = 0.000000
agent_78 = 9.421675
agent_79 = 1.270276
agent_80 = 10.152873
agent_81 = 5.722103
agent_82 = 8.552873
agent_83 = 6.337488
agent_84 = 29.222103
agent_85 = 3.803736
agent_86 = 52.722103
agent_87 = 4.762920
agent_88 = 50.303736
agent_89 = 2.734013
agent_90 = 95.903736
agent_91 = 1.846154
agent_92 = 25.846154
agent_93 = 0.000000
agent_94 = 13.846154
agent_95 = 0.923077
agent_96 = 0.000000
agent_97 = 0.000000
agent_98 = 0.000000
agent_99 = 0.000000
agent_100 = 3.593127
agent_101 = 3.505778
agent_102 = 4.472558
agent_103 = 3.925549
agent_104 = 1.909551
agent_105 = 8.309334
agent_106 = 2.116139
agent_107 = 11.021634
agent_108 = 2.445951
agent_109 = 1.319659
agent_110 = 2.606916
agent_111 = 1.443842
agent_112 = 2.484243
agent_113 = 1.554178
agent_114 = 1.292724
agent_115 = 0.685885
agent_116 = 0.850859
agent_117 = 0.000000
agent_118 = 3.737327
agent_119 = 3.737327
