[generation 0]
agent_0 = 1.143836
agent_1 = 1.143836
agent_2 = 1.143836
agent_3 = 1.143836
agent_4 = 5.432877
agent_5 = 1.013924
agent_6 = 0.000000
agent_7 = 4.683615
agent_8 = 1.575349
agent_9 = 0.461538
agent_10 = 1.681606
agent_11 = 2.612929
agent_12 = 0.761538
agent_13 = 0.230769
agent_14 = 1.061538
agent_15 = 0.000000
agent_16 = 0.281818
agent_17 = 0.000000
agent_18 = 0.381818
agent_19 = 0.090909
agent_20 = 0.000000
agent_21 = 0.000000
agent_22 = 0.000000
agent_23 = 0.000000
agent_24 = 3.491913
agent_25 = 1.951172
agent_26 = 5.525246
agent_27 = 3.080802
agent_28 = 0.000000
agent_29 = 85.284505
agent_30 = 1.480469
agent_31 = 34.751172
agent_32 = 4.422462
agent_33 = 8.983573
agent_34 = 5.903415
agent_35 = 1.845302
agent_36 = 9.302178
agent_37 = 0.219852
agent_38 = 31.311648
agent_39 = 0.000000

[generation 1]
agent_0 = 1.792601
agent_1 = 1.687104
agent_2 = 5.422231
agent_3 = 3.383656
agent_4 = 7.150123
agent_5 = 0.230274
agent_6 = 11.531076
agent_7 = 0.000000
agent_8 = 11.721548
agent_9 = 0.566364
agent_10 = 11.022248
agent_11 = 0.505175
agent_12 = 1.112318
agent_13 = 2.324324
agent_14 = 0.194705
agent_15 = 0.000000
agent_16 = 2.377530
agent_17 = 3.751215
agent_18 = 1.903846
agent_19 = 4.651215
agent_20 = 0.951923
agent_21 = 41.403846
agent_22 = 0.000000
agent_23 = 21.803846
agent_24 = 0.855882
agent_25 = 0.886711
agent_26 = 2.033107
agent_27 = 10.313311
agent_28 = 2.099020
agent_29 = 0.650327
agent_30 = 1.132855
agent_31 = 0.000000
agent_32 = 18.012966
agent_33 = 1.627885
agent_34 = 26.312966
agent_35 = 1.622175
agent_36 = 9.122175
agent_37 = 0.000000
agent_38 = 8.822175
agent_39 = 0.267857

[generation 2]
agent_0 = 8.188514
agent_1 = 1.474681
agent_2 = 13.319662
agent_3 = 2.088397
agent_4 = 8.370030
agent_5 = 3.710339
agent_6 = 2.723689
agent_7 = 13.319662
agent_8 = 1.740281
agent_9 = 2.144567
agent_10 = 13.319662
agent_11 = 9.346470
agent_12 = 2.383703
agent_13 = 2.298516
agent_14 = 13.319662
agent_15 = 3.396830
agent_16 = 0.071177
agent_17 = 13.319662
agent_18 = 4.068147
agent_19 = 0.232558
agent_20 = 14.301959
agent_21 = 0.000000
agent_22 = 0.000000
agent_23 = 0.000000
agent_24 = 17.589986
agent_25 = 3.215259
agent_26 = 1.940005
agent_27 = 14.301959
agent_28 = 13.319662
agent_29 = 5.418648
agent_30 = 2.431324
agent_31 = 9.162238
agent_32 = 6.026097
agent_33 = 1.682284
