[generation 0]
agent_0 = 53.734595
agent_1 = 3.887561
agent_2 = 62.934595
agent_3 = 3.676885
agent_4 = 3.676885
agent_5 = 3.676885
agent_6 = 3.676885
agent_7 = 3.676885
agent_8 = 3.676885
agent_9 = 3.676885
agent_10 = 3.676885
agent_11 = 3.676885
agent_12 = 27.676885
agent_13 = 1.831933
agent_14 = 15.676885
agent_15 = 2.587141
agent_16 = 23.631933
agent_17 = 0.915966
agent_18 = 12.731933
agent_19 = 0.000000

[generation 1]
agent_0 = 6.205359
agent_1 = 29.201488
agent_2 = 69.583967
agent_3 = 10.326257
agent_4 = 5.785359
agent_5 = 8.470510
agent_6 = 5.125359
agent_7 = 7.288692
agent_8 = 3.494275
agent_9 = 38.258692
agent_10 = 3.246463
agent_11 = 20.958692
agent_12 = 30.102338
agent_13 = 1.520565
agent_14 = 9.606770
agent_15 = 1.465354
agent_16 = 2.855597
agent_17 = 1.747357
agent_18 = 4.280597
agent_19 = 0.000000

[generation 2]
agent_0 = 14.058516
agent_1 = 5.505915
agent_2 = 75.906875
agent_3 = 16.649165
agent_4 = 7.045241
agent_5 = 4.971884
agent_6 = 13.351982
agent_7 = 4.092573
agent_8 = 4.408869
agent_9 = 5.281745
agent_10 = 8.005360
agent_11 = 2.920947
agent_12 = 1.884890
agent_13 = 8.259043
agent_14 = 2.819549
agent_15 = 3.093567
agent_16 = 23.862162
agent_17 = 0.487664
agent_18 = 20.337527
agent_19 = 0.000000

[generation 3]
agent_0 = 7.812635
agent_1 = 6.653210
agent_2 = 7.185968
agent_3 = 4.847654
agent_4 = 3.031140
agent_5 = 17.347654
agent_6 = 3.939397
agent_7 = 22.047654
agent_8 = 2.733212
agent_9 = 3.555465
agent_10 = 2.856010
agent_11 = 3.713489
agent_12 = 12.416660
agent_13 = 41.190814
agent_14 = 1.250568
agent_15 = 8.862868
agent_16 = 0.000000
agent_17 = 2.745277
agent_18 = 0.155296
agent_19 = 13.714532

[generation 4]
agent_0 = 3.552822
agent_1 = 3.923936
agent_2 = 2.880848
agent_3 = 3.917106
agent_4 = 2.547733
agent_5 = 3.437274
agent_6 = 5.067982
agent_7 = 3.463761
agent_8 = 3.444559
agent_9 = 4.067733
agent_10 = 1.103289
agent_11 = 5.587733
agent_12 = 0.432740
agent_13 = 2.690826
agent_14 = 0.262887
agent_15 = 2.262891
agent_16 = 0.000000
agent_17 = 0.477602
agent_18 = 0.131443
agent_19 = 0.938031

[generation 5]
agent_0 = 6.718373
agent_1 = 6.799494
agent_2 = 6.523929
agent_3 = 6.653029
agent_4 = 15.049570
agent_5 = 4.730278
agent_6 = 25.670782
agent_7 = 5.627103
agent_8 = 33.278150
agent_9 = 3.893740
agent_10 = 3.722396
agent_11 = 7.434707
agent_12 = 2.663572
agent_13 = 11.131487
agent_14 = 1.929329
agent_15 = 19.376242
agent_16 = 0.964664
agent_17 = 56.529329
agent_18 = 0.000000
agent_19 = 29.229329

[generation 6]
agent_0 = 6.323082
agent_1 = 9.906755
agent_2 = 9.466062
agent_3 = 7.219865
agent_4 = 4.362929
agent_5 = 114.723082
agent_6 = 4.384461
agent_7 = 83.323082
agent_8 = 3.041224
agent_9 = 4.186525
agent_10 = 15.832697
agent_11 = 27.572577
agent_12 = 20.374557
agent_13 = 1.268320
agent_14 = 21.907891
agent_15 = 1.243628
agent_16 = 0.623615
agent_17 = 2.336052
agent_18 = 0.000000
agent_19 = 5.358780

[generation 7]
agent_0 = 8.446332
agent_1 = 6.364938
agent_2 = 6.864741
agent_3 = 5.601556
agent_4 = 4.372458
agent_5 = 13.608349
agent_6 = 6.117752
agent_7 = 6.724498
agent_8 = 4.544589
agent_9 = 4.144016
agent_10 = 15.414563
agent_11 = 3.377843
agent_12 = 16.907255
agent_13 = 1.539823
agent_14 = 78.328824
agent_15 = 1.588856
agent_16 = 9.266929
agent_17 = 0.769912
agent_18 = 4.552644
